scenario_id,fx_annual_logret_cny,fx_annual_logret_mxn,cost_multiplier_cny,cost_multiplier_mxn
6620,-0.047914102084816196,-0.03524941715222471,0.9532156627991325,0.9653646077366069
6621,-0.0390720027435879,-0.05904898225340117,0.9616814629496485,0.9426605943861313
6622,0.06222453336976365,0.03666419998729011,1.0642012666005598,1.0373446220080103
6623,-0.0884125751185837,0.29891495748001207,0.9153831344998967,1.3483949476925303
6624,0.05101469498070722,-0.09385823425595871,1.0523383572614395,0.9104118183014921
6625,0.0037693750639592113,0.02881394755309339,1.0037764880925617,1.0292330853263483
6626,-0.031468325694783264,-0.02139583263273634,0.9690216490551276,0.9788314344522819
6627,-0.07363407034181359,0.06726263814049888,0.9290115845410329,1.0695763528332163
6628,0.012562677939342145,0.0021743448002513877,1.0126419198604102,1.0021767104021406
6629,0.09363092310230013,0.04335369128195047,1.0981543677066805,1.0443071918876403
6630,0.014270967922884353,-0.0389775429108448,1.0143732843242614,0.9617723075103044
6631,0.04170579349292008,0.026816560793757077,1.0425876975396442,1.0271793605136077
6632,0.07089641755636514,0.24535264516993652,1.0734700274607423,1.2780719396409443
6633,0.08087868658543183,-0.04012222197415927,1.08423935580963,0.9606720167462639
6634,-0.09505738999946083,-0.18333239826055986,0.9093207470535448,0.8324913910512727
6635,-0.020398219330114976,0.140131282728339,0.9798084169566599,1.1504248198528855
6636,0.028556814043457193,0.22783086684915252,1.0289684690332006,1.2558728977283102
6637,-0.04383020181096196,-0.07961095694090281,0.9571164603179724,0.9234755482619043
6638,0.03798698220142512,0.033566541843977685,1.0387177109725476,1.034136254770163
6639,-0.07926356372746238,-0.2484310603503646,0.9237964131300606,0.7800236335375792
6640,0.02928260042584789,-0.16239581477985127,1.0297155514142489,0.8501046539523238
6641,0.05636892214727235,0.08182356870070051,1.057987926925297,1.0852643183437312
6642,0.06615262619664666,-0.09463704066976897,1.068389768989664,0.9097030597668607
6643,0.06872833472940519,-0.09806689525437479,1.0711451766741606,0.9065882552734461
6644,0.013725529518457125,-0.07912984414345264,1.0138201570407106,0.9239199510616704
6645,0.01102579469038063,0.14480469212281694,1.0110868027793767,1.1558138086808387
6646,0.08476662028346002,0.135188626077262,1.088463011864756,1.1447526941977022
6647,0.05001516160609914,0.07535966593342175,1.0512870354551214,1.0782718988195614
6648,-0.0937351421986155,0.07874795589271372,0.9105238896626421,1.0819315932193507
6649,-0.05785220621739364,0.1933606760800551,0.9437894233385682,1.213320330230422
6650,-0.048045488179880365,0.09236200109047855,0.9530904317424332,1.0967617791870903
6651,-0.016045912426754065,-0.1647632487757723,0.9840821374190166,0.8480944677249542
6652,-0.07770048152925729,-0.0853564487301975,0.9252415119680989,0.9181849402081885
6653,-0.0120159276184874,0.1795367444729986,0.9880559753579807,1.196662874006312
6654,-0.006427952101678097,-0.09908542837652104,0.9935926629878461,0.9056653351994207
6655,-0.044269130143197555,-0.09990314234747394,0.9566964469709119,0.9049250627086484
6656,-0.0484806347853405,0.09638154219801714,0.9526757878983374,1.1011791301581304
6657,-0.017073171055225343,0.025920805699297125,0.9830717496058798,1.0262596713381305
6658,0.05943033828098537,0.05189944388207515,1.0612318311708953,1.0532698244634247
6659,0.06836775080976826,0.005330981424498116,1.070759008575043,1.0053452163901766
6660,0.00035039786576173543,-0.06308900907965559,1.0003504592622647,0.9388599029140257
6661,-0.11686515793703811,0.06267126964083178,0.8897051547537902,1.0646767901149594
6662,0.13667526809215436,0.0439589071266441,1.1464557972881932,1.0449394144431543
6663,0.016931894490390814,-0.09305066042912552,1.017076051483607,0.911147340011659
6664,-0.020443659278563,-0.09619036508711143,0.9797638955242378,0.9082910926969582
6665,-0.05085839575792059,0.033349105688238886,0.9504132435511622,1.03391142060284
6666,-0.033454778842041774,-0.03247642821881411,0.9670986435631038,0.9680452681136092
6667,-0.08753043369593515,0.05472634264352047,0.9161909881486289,1.0562515241215515
6668,0.12292194649978375,0.014161927038129948,1.130796154904876,1.0142626821940544
6669,0.053290563712594004,0.16257299966625688,1.054736068627331,1.1765342019179998
6670,0.025561561498457015,-0.1257829929846183,1.025891059717404,0.8818061841500573
6671,0.006703474736229391,-0.16572928517789395,1.0067259933124468,0.8472755732013382
6672,0.010393391179573004,0.17036877320495003,1.0104475900770498,1.1857420405961203
6673,0.013590526381296746,-0.001058546771272692,1.0136832973774437,0.9989420132917257
6674,0.07418164932181487,0.08733284690619603,1.0770024244886547,1.091259841738426
6675,-0.007859727954286624,-0.2085184830151639,0.9921710789433565,0.8117860303103729
6676,-0.0822546324675671,0.10710942511067616,0.9210374028082451,1.1130560440965969
6677,-0.012848358930676502,-0.018625327639746184,0.9872338288636147,0.9815470519075657
6678,-0.0043956336494862455,0.14414864861671947,0.9956140130085365,1.1550557932101466
6679,0.030832457981961273,0.08302095085250961,1.0313127011998835,1.0865645727638784
6680,-0.04933160058279142,-0.007545792553595734,0.9518654382256048,0.9924826054656217
6681,0.0191540230675736,-0.04055156165176242,1.0193386381910403,0.9602596506612071
6682,-0.023336457702689703,0.010712841955634364,0.9769337315917651,1.010770429906841
6683,-0.039391617038926664,-0.028884669982563574,0.9613741449207613,0.9715285044050497
6684,-0.12551647932988602,-0.0797137766041495,0.8820412288588816,0.923380601698286
6685,0.05807517361252035,-0.11037443151450976,1.059794661309095,0.8954987695541692
6686,0.11041213816052187,-0.032467804906711105,1.1167382260667906,0.9680536159060787
6687,-0.05011128909396738,-0.19820074936746215,0.9511235689303007,0.8202051809382016
6688,0.06805073738655987,-0.044998365727121736,1.0704196173949254,0.9559990441951328
